Country,Year,Metric Name, Metric Value ,Source,Source Link,corrected metric
Belgium,2015,Inflation,,,,
Belgium,2015,Annual GDP,,,,
Belgium,2016,FATFA Rating,,,,
Belgium,2016,Number of SARs/STRs,,,,
Belgium,2016,SARs/STRs per Capita,,,,
Belgium,2016,Fine Volume,,,,
Belgium,2016,Fine Volumen Inf. Adj. Pct of GDP,,,,
Belgium,2016,Fine Count,,,,
Belgium,2016,Fine Count per Capita,,,,
Belgium,2016,Recovered Assets,,,,
Belgium,2016,Recovered Assets Inf. Adj. Pct of GDP,,,,
Belgium,2016,Conviction Count,,,,
Belgium,2016,Convictions per Capita,,,,
Belgium,2016,Inflation,,,,
Belgium,2016,Annual GDP,,,,
Belgium,2017,FATFA Rating,,,,
Belgium,2017,Number of SARs/STRs,,,,
Belgium,2017,SARs/STRs per Capita,,,,
Belgium,2017,Fine Volume,,,,
Belgium,2017,Fine Volumen Inf. Adj. Pct of GDP,,,,
Belgium,2017,Fine Count,,,,
Belgium,2017,Fine Count per Capita,,,,
Belgium,2017,Recovered Assets,,,,
Belgium,2017,Recovered Assets Inf. Adj. Pct of GDP,,,,
Belgium,2017,Conviction Count,,,,
Belgium,2017,Convictions per Capita,,,,
Belgium,2017,Inflation,,,,
Belgium,2017,Annual GDP,,,,
Belgium,2018,FATFA Rating,,,,
Belgium,2018,Number of SARs/STRs,,,,
Belgium,2018,SARs/STRs per Capita,,,,
Belgium,2018,Fine Volume,,,,
Belgium,2018,Fine Volumen Inf. Adj. Pct of GDP,,,,
Belgium,2018,Fine Count,,,,
Belgium,2018,Fine Count per Capita,,,,
Belgium,2018,Recovered Assets,,,,
Belgium,2018,Recovered Assets Inf. Adj. Pct of GDP,,,,
Belgium,2018,Conviction Count,,,,
Belgium,2018,Convictions per Capita,,,,
Belgium,2018,Inflation,,,,
Belgium,2018,Annual GDP,,,,
Belgium,2019,FATFA Rating,,,,
Belgium,2019,Number of SARs/STRs,,,,
Belgium,2019,SARs/STRs per Capita,,,,
Belgium,2019,Fine Volume,,,,
Belgium,2019,Fine Volumen Inf. Adj. Pct of GDP,,,,
Belgium,2019,Fine Count,,,,
Belgium,2019,Fine Count per Capita,,,,
Belgium,2019,Recovered Assets,,,,
Belgium,2019,Recovered Assets Inf. Adj. Pct of GDP,,,,
Belgium,2019,Conviction Count,,,,
Belgium,2019,Convictions per Capita,,,,
Belgium,2019,Inflation,,,,
Belgium,2019,Annual GDP,,,,
Belgium,2020,FATFA Rating,,,,
Belgium,2020,Number of SARs/STRs,,,,
Belgium,2020,SARs/STRs per Capita,,,,
Belgium,2020,Fine Volume,,,,
Belgium,2020,Fine Volumen Inf. Adj. Pct of GDP,,,,
Belgium,2020,Fine Count,,,,
Belgium,2020,Fine Count per Capita,,,,
Belgium,2020,Recovered Assets,,,,
Belgium,2020,Recovered Assets Inf. Adj. Pct of GDP,,,,
Belgium,2020,Conviction Count,,,,
Belgium,2020,Convictions per Capita,,,,
Belgium,2020,Inflation,,,,
Belgium,2020,Annual GDP,,,,
Belgium,2021,FATFA Rating,,,,
Belgium,2021,Number of SARs/STRs,,,,
Belgium,2021,SARs/STRs per Capita,,,,
Belgium,2021,Fine Volume,,,,
Belgium,2021,Fine Volumen Inf. Adj. Pct of GDP,,,,
Belgium,2021,Fine Count,,,,
Belgium,2021,Fine Count per Capita,,,,
Belgium,2021,Recovered Assets,,,,
Belgium,2021,Recovered Assets Inf. Adj. Pct of GDP,,,,
Belgium,2021,Conviction Count,,,,
Belgium,2021,Convictions per Capita,,,,
Belgium,2021,Inflation,,,,
Belgium,2021,Annual GDP,,,,
Belgium,2022,FATFA Rating,,,,
Belgium,2022,Number of SARs/STRs,,,,
Belgium,2022,SARs/STRs per Capita,,,,
Belgium,2022,Fine Volume,,,,
Belgium,2022,Fine Volumen Inf. Adj. Pct of GDP,,,,
Belgium,2022,Fine Count,,,,
Belgium,2022,Fine Count per Capita,,,,
Belgium,2022,Recovered Assets,,,,
Belgium,2022,Recovered Assets Inf. Adj. Pct of GDP,,,,
Belgium,2022,Conviction Count,,,,
Belgium,2022,Convictions per Capita,,,,
Belgium,2022,Inflation,,,,
Belgium,2022,Annual GDP,,,,
Belgium,2023,FATFA Rating,,,,
Belgium,2023,Number of SARs/STRs,,,,
Belgium,2023,SARs/STRs per Capita,,,,
Belgium,2023,Fine Volume,,,,
Belgium,2023,Fine Volumen Inf. Adj. Pct of GDP,,,,
Belgium,2023,Fine Count,,,,
Belgium,2023,Fine Count per Capita,,,,
Belgium,2023,Recovered Assets,,,,
Belgium,2023,Recovered Assets Inf. Adj. Pct of GDP,,,,
Belgium,2023,Conviction Count,,,,
Belgium,2023,Convictions per Capita,,,,
Belgium,2023,Inflation,,,,
Belgium,2023,Annual GDP,,,,
Belgium,2024,FATFA Rating,,,,
Belgium,2024,Number of SARs/STRs,,,,
Belgium,2024,SARs/STRs per Capita,,,,
Belgium,2024,Fine Volume,,,,
Belgium,2024,Fine Volumen Inf. Adj. Pct of GDP,,,,
Belgium,2024,Fine Count,,,,
Belgium,2024,Fine Count per Capita,,,,
Belgium,2024,Recovered Assets,,,,
Belgium,2024,Recovered Assets Inf. Adj. Pct of GDP,,,,
Belgium,2024,Conviction Count,,,,
Belgium,2024,Convictions per Capita,,,,
Belgium,2024,Inflation,,,,
Belgium,2024,Annual GDP,,,,
Brazil,2014,FATFA Rating,,,,
Brazil,2014,Number of SARs/STRs," 501,000.00 ",COAF Annual Report 2014,,
